name,horizons_id,equatorial_radius_km,mean_radius_km,mass_1e24kg,density_g_cm3,rotation_days,orbital_years,gravity_m_s2,escape_km_s,source
Mercury,199,2440.53,2439.4,0.330103,5.4289,58.6462,0.2408467,3.70,4.25,https://ssd.jpl.nasa.gov/planets/phys_par.html
Venus,299,6051.8,6051.8,4.86731,5.243,-243.018,0.61519726,8.87,10.36,https://ssd.jpl.nasa.gov/planets/phys_par.html
Earth,399,6378.1366,6371.0084,5.97217,5.5134,0.99726968,1.0000174,9.80,11.19,https://ssd.jpl.nasa.gov/planets/phys_par.html
Moon,301,,1737.4,0.07346,3.344,27.321661,0.0748,1.62,2.38,https://ssd.jpl.nasa.gov/sats/phys_par/
Mars,499,3396.19,3389.50,0.641691,3.9340,1.02595676,1.8808476,3.71,5.03,https://ssd.jpl.nasa.gov/planets/phys_par.html
Jupiter,599,71492,69911,1898.125,1.3262,0.41354,11.862615,24.79,60.20,https://ssd.jpl.nasa.gov/planets/phys_par.html
Saturn,699,60268,58232,568.317,0.6871,0.44401,29.447498,10.44,36.09,https://ssd.jpl.nasa.gov/planets/phys_par.html
Uranus,799,25559,25362,86.8099,1.270,-0.71833,84.016846,8.87,21.38,https://ssd.jpl.nasa.gov/planets/phys_par.html
Neptune,899,24764,24622,102.4092,1.638,0.67125,164.79132,11.15,23.56,https://ssd.jpl.nasa.gov/planets/phys_par.html
Pluto,999,1188.3,1188.3,0.0130246,1.853,-6.3872,247.92065,0.62,1.21,https://ssd.jpl.nasa.gov/planets/phys_par.html
