id	domain	format	interval_seconds	auth	syncable	authority	coverage	license	priority	url	description
iers.eop.rapid	time	csv	21600	none	1	IERS	Earth orientation	provider-terms	100	https://datacenter.iers.org/products/eop/rapid/standard/csv/finals2000A.all.csv	Rapid EOP IAU 2000A including polar motion and UT1-UTC
iers.bulletin.c72	time	html	15552000	none	1	IERS	Leap seconds	provider-terms	100	https://datacenter.iers.org/data/html/bulletinc-072.html	Bulletin C 72 UTC-TAI status published 2026-07-06
iers.bulletins	time	html	86400	none	1	IERS	Time and Earth orientation	provider-terms	100	https://data.iers.org/bulletins.php	IERS Bulletin A B C D index
nga.wgs84	earth	html	2592000	none	1	NGA	Geodesy	public-data	100	https://earth-info.nga.mil/?action=wgs84&dir=wgs84	World Geodetic System 1984 reference and products
nga.egm2008	earth	html	2592000	none	1	NGA	Gravity and geoid	public-data	100	https://earth-info.nga.mil/GandG/wgs84/gravitymod/egm2008/index.html	Earth Gravitational Model 2008 resources
noaa.wmm2025	earth	html	2592000	none	1	NOAA NCEI	Geomagnetism	public-data	100	https://www.ncei.noaa.gov/products/world-magnetic-model	World Magnetic Model 2025
noaa.wmm.coefficients	earth	html	2592000	none	1	NOAA NCEI	Geomagnetism	public-data	100	https://www.ncei.noaa.gov/products/world-magnetic-model/wmm-coefficients	WMM2025 coefficient distribution and test values
noaa.cors	earth	html	86400	none	1	NOAA NGS	GNSS reference stations	public-data	100	https://www.ngs.noaa.gov/CORS/	NOAA Continuously Operating Reference Station network
noaa.cors.data	earth	html	86400	none	1	NOAA NGS	GNSS observations and navigation	public-data	100	https://www.ngs.noaa.gov/CORS/data.shtml	CORS observations meteorology navigation ephemerides and station metadata
igs.products	earth	html	86400	none	1	International GNSS Service	Precise GNSS products	open-data	95	https://igs.org/products/	Precise GNSS orbits clocks Earth rotation and station products
naturalearth.catalog	earth	html	2592000	none	1	Natural Earth	Global cartography	public-domain	90	https://www.naturalearthdata.com/downloads/	Global vector and raster cartographic datasets
osm.replication.minute	earth	txt	60	none	1	OpenStreetMap	Global map change stream	ODbL-1.0	90	https://planet.openstreetmap.org/replication/minute/state.txt	OpenStreetMap minutely replication sequence state
osm.planet	earth	pbf	604800	none	0	OpenStreetMap	Global map database	ODbL-1.0	90	https://planet.openstreetmap.org/pbf/planet-latest.osm.pbf	Global OSM planet file
nasa.gibs.capabilities	earth	xml	86400	none	1	NASA EOSDIS	Earth imagery	provider-terms	100	https://gibs.earthdata.nasa.gov/wmts/epsg4326/best/1.0.0/WMTSCapabilities.xml	NASA GIBS global imagery WMTS capabilities
nasa.cmr.collections	earth	json	86400	none	1	NASA EOSDIS	Earth science catalog	provider-terms	100	https://cmr.earthdata.nasa.gov/search/collections.json?page_size=100	NASA CMR Earth science collection search
nasa.cmr.granules	earth	json	0	none	0	NASA EOSDIS	Earth science granules	provider-terms	100	https://cmr.earthdata.nasa.gov/search/granules.json	NASA CMR granule query endpoint
