name	horizons_id	type	primary	source
Sun	10	star	Solar System	https://ssd.jpl.nasa.gov/horizons/
Mercury	199	planet	Sun	https://ssd.jpl.nasa.gov/horizons/
Venus	299	planet	Sun	https://ssd.jpl.nasa.gov/horizons/
Earth	399	planet	Sun	https://ssd.jpl.nasa.gov/horizons/
Moon	301	moon	Earth	https://ssd.jpl.nasa.gov/horizons/
Mars	499	planet	Sun	https://ssd.jpl.nasa.gov/horizons/
Phobos	401	moon	Mars	https://ssd.jpl.nasa.gov/horizons/
Deimos	402	moon	Mars	https://ssd.jpl.nasa.gov/horizons/
Jupiter	599	planet	Sun	https://ssd.jpl.nasa.gov/horizons/
Io	501	moon	Jupiter	https://ssd.jpl.nasa.gov/horizons/
Europa	502	moon	Jupiter	https://ssd.jpl.nasa.gov/horizons/
Ganymede	503	moon	Jupiter	https://ssd.jpl.nasa.gov/horizons/
Callisto	504	moon	Jupiter	https://ssd.jpl.nasa.gov/horizons/
Amalthea	505	moon	Jupiter	https://ssd.jpl.nasa.gov/horizons/
Saturn	699	planet	Sun	https://ssd.jpl.nasa.gov/horizons/
Mimas	601	moon	Saturn	https://ssd.jpl.nasa.gov/horizons/
Enceladus	602	moon	Saturn	https://ssd.jpl.nasa.gov/horizons/
Tethys	603	moon	Saturn	https://ssd.jpl.nasa.gov/horizons/
Dione	604	moon	Saturn	https://ssd.jpl.nasa.gov/horizons/
Rhea	605	moon	Saturn	https://ssd.jpl.nasa.gov/horizons/
Titan	606	moon	Saturn	https://ssd.jpl.nasa.gov/horizons/
Hyperion	607	moon	Saturn	https://ssd.jpl.nasa.gov/horizons/
Iapetus	608	moon	Saturn	https://ssd.jpl.nasa.gov/horizons/
Phoebe	609	moon	Saturn	https://ssd.jpl.nasa.gov/horizons/
Uranus	799	planet	Sun	https://ssd.jpl.nasa.gov/horizons/
Ariel	701	moon	Uranus	https://ssd.jpl.nasa.gov/horizons/
Umbriel	702	moon	Uranus	https://ssd.jpl.nasa.gov/horizons/
Titania	703	moon	Uranus	https://ssd.jpl.nasa.gov/horizons/
Oberon	704	moon	Uranus	https://ssd.jpl.nasa.gov/horizons/
Miranda	705	moon	Uranus	https://ssd.jpl.nasa.gov/horizons/
Neptune	899	planet	Sun	https://ssd.jpl.nasa.gov/horizons/
Triton	801	moon	Neptune	https://ssd.jpl.nasa.gov/horizons/
Nereid	802	moon	Neptune	https://ssd.jpl.nasa.gov/horizons/
Proteus	808	moon	Neptune	https://ssd.jpl.nasa.gov/horizons/
Pluto	999	dwarf-planet	Sun	https://ssd.jpl.nasa.gov/horizons/
Charon	901	moon	Pluto	https://ssd.jpl.nasa.gov/horizons/
Nix	902	moon	Pluto	https://ssd.jpl.nasa.gov/horizons/
Hydra	903	moon	Pluto	https://ssd.jpl.nasa.gov/horizons/
Kerberos	904	moon	Pluto	https://ssd.jpl.nasa.gov/horizons/
Styx	905	moon	Pluto	https://ssd.jpl.nasa.gov/horizons/
