authority	source_count
CelesTrak	43
USGS	9
NASA JPL SSD	9
NASA CCMC	9
NOAA SWPC	8
NASA JPL CNEOS	5
NOAA NCEI	4
NASA EOSDIS	4
IERS	3
NOAA CO-OPS	3
NOAA Aviation Weather Center	3
USSF 18 SDS Space-Track	3
NASA STI	3
USGS Volcano Hazards Program	3
USCG Navigation Center	3
NASA GSFC SPDF	3
NGA	2
NOAA NGS	2
OpenStreetMap	2
NASA LANCE FIRMS	2
NOAA NCEP	2
NOAA NWS	2
NOAA NDBC	2
NASA JPL NAIF	2
SpaceX Starlink	2
FCC	2
NASA GSFC HEASARC	2
ESA	2
ESA Space Debris Office	2
ESO	2
International GNSS Service	1
Natural Earth	1
Copernicus Data Space	1
NASA GSFC	1
NOAA NHC	1
EPA AirNow	1
NASA POWER	1
NASA Exoplanet Archive	1
Minor Planet Center	1
NASA PDS	1
USGS Astrogeology	1
NASA JPL	1
NASA	1
ITU	1
RIPE NCC	1
Route Views	1
NLnet Labs	1
NIST	1
NOAA PMEL	1
NOAA GOMO OSMC	1
NASA STScI MAST	1
